topic,word_id,word,hint,sentence
japanese_jlpt_n1,developing_film,現像,げんぞう — developing (film),フィルムを現像に出す。
japanese_jlpt_n1,developing_film,現像,げんぞう — developing (film),写真屋で現像してもらった。
japanese_jlpt_n1,developing_film,現像,げんぞう — developing (film),このフィルムは現像できるだろうか。
japanese_jlpt_n1,developing_film,現像,げんぞう — developing (film),現像液の温度は適切に保つ必要がある。
japanese_jlpt_n1,developing_film,現像,げんぞう — developing (film),デジタルカメラでは現像という工程は不要だ。
japanese_jlpt_n1,developing_film,現像,げんぞう — developing (film),暗室で自分でフィルムを現像するのは楽しい。
japanese_jlpt_n1,developing_film,現像,げんぞう — developing (film),現像中の写真がどんな仕上がりになるか楽しみだ。
japanese_jlpt_n1,developing_film,現像,げんぞう — developing (film),現像の技術は年々進化している。
japanese_jlpt_n1,developing_film,現像,げんぞう — developing (film),現像には時間がかかることがある。
japanese_jlpt_n1,developing_film,現像,げんぞう — developing (film),古いカメラで撮った写真を現像してみた。
japanese_jlpt_n1,principle_general_rule,原則,"げんそく — principle, general rule",約束の時間は厳守するのが原則です。
japanese_jlpt_n1,principle_general_rule,原則,"げんそく — principle, general rule",どんな時も、正直であることが大切だという原則を忘れてはいけません。
japanese_jlpt_n1,principle_general_rule,原則,"げんそく — principle, general rule",この規則は、顧客満足度を最優先するという原則に基づいています。
japanese_jlpt_n1,principle_general_rule,原則,"げんそく — principle, general rule",多くの法律は、個人の権利を保護するという原則を守っています。
japanese_jlpt_n1,principle_general_rule,原則,"げんそく — principle, general rule",議論するときは、相手の意見を尊重するという原則を心掛けましょう。
japanese_jlpt_n1,principle_general_rule,原則,"げんそく — principle, general rule",彼の説明は、論理的思考という原則に沿っていて分かりやすかった。
japanese_jlpt_n1,principle_general_rule,原則,"げんそく — principle, general rule",公務員は、中立公平という原則に従って職務を遂行しなければなりません。
japanese_jlpt_n1,principle_general_rule,原則,"げんそく — principle, general rule",契約書には、紛争解決に関する明確な原則が記されています。
japanese_jlpt_n1,principle_general_rule,原則,"げんそく — principle, general rule",子供の教育において、愛情と規律は両立させるべき原則です。
japanese_jlpt_n1,principle_general_rule,原則,"げんそく — principle, general rule",変更は、事前に通知するという原則がありますのでご安心ください。
japanese_jlpt_n1,point_of_view,見地,けんち — point of view,彼の見地から見ると、それは当然のことだった。
japanese_jlpt_n1,point_of_view,見地,けんち — point of view,この問題に対するあなたの見地を教えてください。
japanese_jlpt_n1,point_of_view,見地,けんち — point of view,異なる見地から議論を深めることが重要です。
japanese_jlpt_n1,point_of_view,見地,けんち — point of view,経営者の見地と従業員の見地はしばしば異なります。
japanese_jlpt_n1,point_of_view,見地,けんち — point of view,歴史的な見地からこの出来事を分析してみましょう。
japanese_jlpt_n1,point_of_view,見地,けんち — point of view,専門家の見地は、一般の人々とは異なる視点を提供します。
japanese_jlpt_n1,point_of_view,見地,けんち — point of view,彼女は常に人道的見地から物事を考えている。
japanese_jlpt_n1,point_of_view,見地,けんち — point of view,新しい見地を取り入れることで、解決策が見つかるかもしれない。
japanese_jlpt_n1,point_of_view,見地,けんち — point of view,この報告書は、経済的な見地から書かれている。
japanese_jlpt_n1,point_of_view,見地,けんち — point of view,子供の見地は、大人とは全く違う面白さがある。
japanese_jlpt_n1,actual_place_local,現地,"げんち — actual place, local",現地の料理はとても美味しかった。
japanese_jlpt_n1,actual_place_local,現地,"げんち — actual place, local",現地の言葉を少し覚えました。
japanese_jlpt_n1,actual_place_local,現地,"げんち — actual place, local",現地の雰囲気を味わいたくて、この街を選びました。
japanese_jlpt_n1,actual_place_local,現地,"げんち — actual place, local",現地のガイドさんと一緒に観光しました。
japanese_jlpt_n1,actual_place_local,現地,"げんち — actual place, local",現地の文化を理解するため、博物館に行きました。
japanese_jlpt_n1,actual_place_local,現地,"げんち — actual place, local",現地の人の親切に感謝しています。
japanese_jlpt_n1,actual_place_local,現地,"げんち — actual place, local",現地の市場で珍しいお土産を見つけました。
japanese_jlpt_n1,actual_place_local,現地,"げんち — actual place, local",現地の習慣について、事前に調べておきました。
japanese_jlpt_n1,actual_place_local,現地,"げんち — actual place, local",現地の情報が欲しくて、観光案内所へ行きました。
japanese_jlpt_n1,actual_place_local,現地,"げんち — actual place, local",現地の小学校を訪問し、子供たちと交流しました。
japanese_jlpt_n1,limit_restriction,限定,"げんてい — limit, restriction",このセールは本日限定です。
japanese_jlpt_n1,limit_restriction,限定,"げんてい — limit, restriction",数量限定なので、お早めにどうぞ。
japanese_jlpt_n1,limit_restriction,限定,"げんてい — limit, restriction",この商品は海外限定で販売されています。
japanese_jlpt_n1,limit_restriction,限定,"げんてい — limit, restriction",予約は一名様限定とさせていただきます。
japanese_jlpt_n1,limit_restriction,限定,"げんてい — limit, restriction",運転免許の取得には年齢制限があります。
japanese_jlpt_n1,limit_restriction,限定,"げんてい — limit, restriction",期間限定の特別メニューをお楽しみください。
japanese_jlpt_n1,limit_restriction,限定,"げんてい — limit, restriction",このイベントは会員限定の特典があります。
japanese_jlpt_n1,limit_restriction,限定,"げんてい — limit, restriction",彼の才能は地域限定ではもったいない。
